,Drug1,Drug2
442,C02C,J02A
443,J01D,B05C
444,N06B,N06B
445,N05C,J05A
446,C10A,J01A
447,G04C,A10B
448,M03B,L02A
449,L01B,J01D
450,S01E,N03A
451,A02B,B01A
452,N05A,C03C
453,A10B,L01X
454,A10B,N05B
455,J02A,G04B
456,G03A,B05X
457,J01A,R01A
458,S01E,N06A
459,A04A,N05A
460,R01A,N06A
461,S01E,D11A
462,C07A,R01A
463,J01D,C07A
464,H03A,R06A
465,J05A,N03A
466,N05B,C01D
467,H03A,L02A
468,R01A,P01B
469,N05B,A02B
470,R01A,N05B
471,R01A,A10B
472,N03A,N07A
473,N06B,L01X
474,J01C,R03A
475,H03A,A10B
476,N02B,J01C
477,J01A,L01X
478,H03A,A10B
479,H03A,C09A
480,H03A,A02B
481,A10B,L02B
482,B03B,C09A
483,H03A,G03X
484,R03D,R03A
485,C08C,J01X
486,N05A,M03A
487,M03B,N04B
488,L01C,S01A
489,D10A,B01A
490,S01A,R03A
491,B03B,J05A
492,J05A,P01A
493,C03B,D07A
494,L01D,C07A
495,M03B,C01D
496,S01A,A06A
497,M03B,A02B
498,C05A,A02B
499,J01X,N06A
500,J02A,J01F
501,N01B,N01A
502,L01X,R01A
503,A10B,C01D
504,J05A,M04A
505,S01A,L01X
506,A03B,C10A
507,A02B,V03A
508,J01D,J02A
509,R01A,J05A
510,C01D,N07B
511,N03A,G04B
512,N05A,N05B
513,S01A,N06B
514,N03A,D11A
515,N05C,N05C
516,N05A,P01B
517,C03A,A03F
518,N05B,S01A
519,N05C,N02C
520,N05B,J05A
521,N05B,A05A
522,C10A,G04B
523,N06B,A07E
524,M01A,N06A
525,A03F,N06B
526,N05B,L01X
527,C10A,G04C
528,L02B,G04C
529,C01D,L01X
530,D01A,C10A
531,N05A,N06B
532,C09A,C01B
533,J05A,J05A
534,C09C,H05B
535,B03B,A02B
536,J01C,M03B
537,S01A,R06A
538,N02A,C03D
539,C07A,C01E
540,C07A,C10A
541,A10B,C05A
542,N06A,D11A
543,L01B,N02A
544,V03A,S01A
545,M05B,N05A
546,L02B,N03A
547,J01D,C03C
548,C02C,A10B
549,D11A,H05B
550,C09A,G04B
551,M01A,M01A
552,C07A,B01A
553,N02B,J01D
554,N05B,A04A
555,N02B,M01A
556,J01F,N05B
557,J05A,N07B
558,G04B,D01A
559,B05X,J05A
560,C03C,A02B
561,J01D,N06A
562,G03A,A02B
563,G03A,A04A
564,L01B,S01A
565,A10B,N05A
566,S01A,L01C
567,N05B,L02B
568,N06A,L01X
569,C09C,A02B
570,J05A,A06A
571,N03A,R01A
572,N02A,N06A
573,N05C,N06B
574,C02C,N03A
575,M05B,N04B
576,L01C,L01D
577,A02B,N06A
578,C07A,J05A
579,B05C,H05B
580,A01A,M05B
581,C09C,C05A
582,M03B,H02A
583,J02A,N01A
584,C10A,A07D
585,C10A,C09A
586,C10A,N05B
587,J04A,N02B
588,S01E,L01X
589,N02A,H02A
590,M03B,J01D
591,C10A,C03D
592,A10B,A10B
593,A02B,N02C
594,C03C,A02B
595,M01A,C01D
596,B01A,R03A
597,H01C,A02B
598,N06B,C10A
599,D05A,J02A
600,J01D,J05A
601,N05B,J05A
602,L01C,P01A
603,L01C,C07A
604,C03C,H02A
605,A04A,C10A
606,J04A,A03F
607,A03B,M05B
608,L01C,C01B
609,C10A,C01D
610,C09C,N05A
611,C09C,C09A
612,C10A,G04C
613,L01C,R06A
614,J05A,J01F
615,C08D,C01D
616,C09C,H02A
617,C02A,N05A
618,C01B,C09C
619,L02B,H02A
620,J01F,C03D
621,J05A,C09A
622,J01C,S01A
623,M05B,L01X
624,R03A,L01B
625,J01A,G03A
626,H03A,S01E
627,S01A,J02A
628,S01A,L01B
629,J05A,C10A
630,C03C,A07E
631,G04C,H05B
632,J05A,N05B
633,H02A,L02A
634,J05A,H05B
635,N06D,L02A
636,H02A,R06A
637,S01E,N02C
638,J05A,M01A
639,B05C,J01D
640,M01A,G04B
641,S01E,M05B
642,J01D,L01C
643,N05B,S01A
644,N05B,A02B
645,C09C,A02B
646,A04A,L01X
647,A01A,M03A
648,A01A,M05B
649,S01A,M01A
650,B01A,N05A
651,R06A,A10B
652,R06A,C07A
653,D05A,M01A
654,N03A,C08D
655,N03A,D11A
656,R01A,S01E
657,B03B,A07E
658,N03A,C09C
659,S01E,D01A
660,A10B,J01D
661,L02A,C01E
662,N03A,B05X
663,N07B,J05A
664,C07A,L02A
665,C03C,C07A
666,B05C,C01D
667,B05C,A02B
668,C01D,G04B
669,V03A,N05B
670,N05B,N02A
671,N05B,M03A
672,C01D,J05A
673,N05B,N06D
674,J05A,A02B
675,N05B,M01A
676,J01D,A03F
677,S01A,R01A
678,C03C,G04C
679,B01A,A02B
680,C03D,N01A
681,S01E,C03B
682,N02C,S01E
683,R06A,N06A
684,M05B,L01X
685,C07A,G04C
686,L01D,N06B
687,C03A,C07A
688,C09A,C01D
689,G03X,G04C
690,B01A,N06D
691,C07A,N05C
692,B01A,C03C
693,S01E,S01A
694,M01A,C07A
695,S01E,C10A
696,S01E,L01B
697,J05A,P01B
698,C03C,B01A
699,N03A,G04B
700,J01C,J05A
701,B05C,A05A
702,B01A,G04C
703,S01E,M01A
704,N02A,M03B
705,G04B,C10A
706,M01A,N06B
707,B03B,P01B
708,A02B,C01D
709,J01F,H02A
710,C01B,R01A
711,M03B,C09C
712,J05A,R06A
713,R03A,N06A
714,R03A,C08C
715,J01X,J05A
716,N05C,G04C
717,C07A,A10B
718,J02A,R05D
719,S01A,N02A
720,S01A,M04A
721,N06A,M05B
722,S01E,J01A
723,S01A,N05A
724,N03A,N05A
725,N03A,C09A
726,D11A,N06A
727,L01X,N06A
728,J02A,A10B
729,J02A,G03A
730,J02A,N06A
731,J01X,D10A
732,L01D,A10B
733,J01C,N05B
734,S01E,A06A
735,A02B,N05C
736,C09C,C03C
737,A10B,C10A
738,C09C,N06D
739,A02B,J01X
740,N05B,M01A
741,A10B,P01B
742,C01D,N05C
743,D08A,N06B
744,R06A,D11A
745,C09A,D01A
746,R06A,N02C
747,N05B,C01B
748,L01C,M01A
749,B01A,J01D
750,V03A,D08A
751,N06A,B05X
752,B01A,J01D
753,B01A,J01D
754,S01A,A07E
755,A10B,C09A
756,C07A,A05A
757,C03D,R03D
758,R03A,M01A
759,N05C,D11A
760,N05A,R01A
761,J01D,N05B
762,C03B,G04C
763,J01D,M01A
764,A10B,R06A
765,N05A,L01C
766,C09A,N06A
767,H03A,A04A
768,N03A,A10B
769,G04C,R01A
770,N03A,R05D
771,J05A,H01C
772,C07A,D08A
773,A16A,H05B
774,N02C,C10A
775,C03B,L02A
776,M01A,N05C
777,A10B,L02A
778,R03D,C09A
779,B03B,C07A
780,B03B,A10B
781,G04C,D11A
782,N03A,J01C
783,L02B,C09C
784,A02B,L02B
785,N02A,C05A
786,D05A,C10A
787,G04C,C09A
788,M01A,J05A
789,C10A,V03A
790,H02A,G04C
791,C10A,N06A
792,A10B,C04A
793,M01A,A02B
794,A01A,N01A
795,N05B,B05X
796,C10A,C02C
797,C09A,J05A
798,R01A,M05B
799,R01A,N05A
800,N02A,C07A
801,R06A,N06A
802,N03A,A10B
803,J02A,A06A
804,B05C,A02B
805,C10A,L01X
806,C01B,C10A
807,N05A,N05A
808,A10B,N03A
809,L02B,L02B
810,L02B,C02C
811,P03A,J01X
812,N06A,B01A
813,G04B,A06A
814,N06A,J01D
815,N03A,A10B
816,N04B,N06A
817,N06A,C09A
818,M05B,R06A
819,C10A,J05A
820,C10A,L01X
821,N06B,N05B
822,A10B,G04B
823,R01A,C07A
824,R01A,A10B
825,C09A,M05B
826,C08D,A10B
827,C03A,G04B
828,C03D,C01C
829,J02A,G04C
830,R03A,G04B
831,C09A,N06A
832,C10A,M03B
833,C01E,J05A
834,S01E,M03B
835,C07A,L02B
836,A10B,J05A
837,C09C,J05A
838,S01E,A04A
839,S01E,A02B
840,B05X,A02B
841,S01E,M05B
842,S01E,N05A
843,H03A,M02A
844,J05A,S01A
845,A03A,A02B
846,B03B,P01A
847,B03B,C03B
848,B03B,C07A
849,C01B,N06D
850,B03B,C01B
851,C09A,C07A
852,M02A,C08C
853,C09A,N01A
854,C02C,J01D
855,V03A,J05A
856,J01X,N01A
857,C08C,G04B
858,S01A,D11A
859,B03B,N05B
860,S01E,V03A
861,C07A,J05A
862,N06A,L01X
863,V03A,H02A
864,N03A,J01C
865,S01A,A07D
866,C10A,N06A
867,J01D,J01C
868,C10A,L01X
869,B03B,N03A
870,N02A,N02A
871,N04B,N05C
872,M01A,H02A
873,L01X,H02A
874,B05C,L01C
875,C07A,J05A
876,S01E,L02B
877,J01F,A06A
878,C03C,A03A
879,C09A,N06D
880,S01A,L01X
881,H03A,R03A
882,S01E,N05B
883,G04B,C10A
884,C09A,C08C
885,C09A,C03C
886,H03A,M05B
887,S01E,C03C
888,L01D,L01X
889,J05A,C09C
890,M03B,S01A
891,C03A,J01F
892,G04B,S01E
893,C09A,M01A
894,M01A,H02A
895,A07E,R06A
896,R01A,N06A
897,A07E,L02A
898,M01A,D01A
899,L01B,L01C
900,N07A,M05B
901,C02C,N05A
902,N03A,M01A
903,C01D,R03D
904,C07A,C09A
905,M01A,C07A
906,H03A,M01A
907,C01B,N05B
908,N06A,C03C
909,N05A,A02B
910,R01A,N05C
911,A10B,R01A
912,C01B,M01A
913,H03A,C07A
914,C07A,G04B
915,M05B,C05A
916,M01A,A05A
917,M01A,J05A
918,C02C,M05B
919,B01A,L02B
920,M02A,N03A
921,C09A,J05A
922,C03C,H05B
923,M05B,S01E
924,N06A,N06A
925,C10A,N06A
926,C10A,M01A
927,A02B,M01A
928,A02B,N02A
929,G04B,N06A
930,C09A,B05C
931,M05B,G04B
932,M03B,R03A
933,M01A,G04C
934,M03B,J05A
935,C03A,M02A
936,C03A,M01A
937,N06A,N02C
938,M05B,N06A
939,C03A,J02A
940,V03A,A02B
941,N03A,P01A
942,A02B,D05A
943,C01D,N06B
944,J02A,J01A
945,C07A,A10B
946,C01D,L01X
947,A04A,A06A
948,B01A,J05A
949,R01A,L04A
950,C07A,N02C
951,C09C,A07E
952,A03A,M04A
953,H02A,N01A
954,M01A,D01A
955,M01A,G04C
956,N04B,N05B
957,N03A,N05B
958,V03A,J01D
959,V03A,J01D
960,J01D,C08D
961,A16A,C08D
962,V03A,J01D
963,G04B,C03D
964,N05A,N05C
965,C07A,G04B
966,C07A,G04B
967,J05A,J05A
968,C08D,R01A
969,A10B,C10A
970,L01D,L01A
971,N05C,N05A
972,N01A,N01A
973,M01A,B01A
974,C08D,C09C
975,D01A,B01A
976,L02A,J05A
977,N03A,N05A
978,G04B,C10A
979,R01A,J01D
980,C10A,L01X
981,D05A,R01A
982,M01A,N06D
983,C10A,J05A
984,N05B,V03A
985,N05B,N05A
986,J05A,M05B
987,N05B,R01A
988,C01B,G04C
989,L01X,R03A
990,C07A,G04C
991,C09A,C02A
992,C10A,M01A
993,L01B,M04A
994,C08C,C04A
995,H02A,C05A
996,A02B,C10A
997,C09C,A03F
998,G04C,M05B
999,A03A,C08C
1000,N01A,D01A
1001,N03A,R01A
1002,N03A,L01B
1003,N03A,C10A
1004,J01D,M05B
1005,R01A,N03A
1006,A10B,A04A
1007,C10A,G04B
1008,C01E,N05B
1009,H03A,C07A
1010,N04B,C01D
1011,H03A,J05A
1012,D05A,A02B
1013,H03A,J02A
1014,N04B,A10B
1015,N06A,C03C
1016,L01C,C09C
1017,A03A,H02A
1018,C09C,H05B
1019,J01D,A04A
1020,J01D,A02B
1021,S01A,G03X
1022,N06A,L01C
1023,N05B,N05A
1024,S01A,A02B
1025,S01A,C09A
1026,N03A,N05C
1027,A07D,M01A
1028,V03A,A02B
1029,V03A,A04A
1030,A07D,N02C
1031,J01D,N01A
1032,C10A,N05A
1033,C09A,C03D
1034,C10A,J05A
1035,N05C,G04C
1036,C09C,C09A
1037,L02A,N05C
1038,D01A,J05A
1039,D01A,A05A
1040,L01D,A10B
1041,N02A,C10A
1042,N05A,N03A
1043,J01C,C03C
1044,C07A,L02B
1045,C09C,L01X
1046,N02A,C03D
1047,J05A,V03A
1048,D05A,L01X
1049,C03C,M04A
1050,N05C,P01A
1051,N03A,A10B
1052,N05C,C01D
1053,A02B,C03D
1054,N05B,L01X
1055,N05B,S01A
1056,G04B,N07B
1057,C10A,A07E
1058,C10A,N05C
1059,N06A,L01X
1060,N05C,A02B
1061,C07A,J05A
1062,J02A,R03D
1063,C08C,C09C
1064,N05B,H02A
1065,G04C,L04A
1066,C10A,R03D
1067,C10A,D11A
1068,C01E,C09A
1069,N03A,S01E
1070,C10A,S01E
1071,N02C,C09C
1072,B01A,M01A
1073,V03A,L02B
1074,N03A,L04A
1075,L02A,C07A
1076,C09C,J01F
1077,C01B,L01X
1078,N06A,M04A
1079,D10A,L02A
1080,C09C,L01X
1081,R01A,L01X
1082,L02A,N03A
1083,R06A,C07A
1084,C07A,L01X
1085,S01E,L01B
1086,C08C,S01A
1087,S01E,J02A
1088,L04A,J01F
1089,J05A,C10A
1090,J02A,N05B
1091,R03A,A04A
1092,M03B,M01A
1093,R06A,C10A
1094,M01A,N05A
1095,S01A,A07E
1096,N05C,H02A
1097,G04B,L02A
1098,M01A,C04A
1099,L04A,N05A
1100,J01D,C10A
1101,C09C,D11A
1102,N01A,N05C
1103,N02A,N05A
1104,B01A,A02B
1105,C09C,L01X
1106,J01D,G04C
1107,C01D,M05B
1108,A03F,G04B
1109,C10A,J01F
1110,C10A,S01E
1111,C03C,N06A
1112,N06D,N05C
1113,N06D,L01A
1114,B01A,D11A
1115,M02A,C09A
1116,M02A,A07D
1117,V03A,N05B
1118,G04B,C09C
1119,M02A,N05B
1120,V03A,C09A
1121,V03A,A02B
1122,L01B,N05C
1123,M03B,G04C
1124,J01D,D01A
1125,V03A,G03X
1126,L02B,C09C
1127,L01B,C03D
1128,M05B,J01F
1129,A10B,N03A
1130,D01A,N05A
1131,N03A,J05A
1132,A02B,J01D
1133,N05A,N06D
1134,N05A,C03C
1135,R03A,J01E
1136,N06A,C09C
1137,N06A,J01X
1138,L01B,N05A
1139,M02A,J05A
1140,C08D,S01A
1141,C05A,R06A
1142,M01A,D01A
1143,C09A,C02A
1144,C01B,R01A
1145,G04B,C03C
1146,R06A,M01A
1147,N07B,B01A
1148,R06A,N05B
1149,C07A,N04B
1150,N07B,S01E
1151,N07B,N03A
1152,J01D,L01X
1153,C10A,R03D
1154,D11A,C08C
1155,N05B,C09A
1156,R03A,G04B
1157,N05B,G03X
1158,D11A,C10A
1159,C03A,C01D
1160,L01B,A04A
1161,N05A,B05X
1162,J04A,J05A
1163,M05B,P01B
1164,D05A,C03A
1165,A03B,S01A
1166,A10B,C10A
1167,J01C,L01C
1168,N06D,N06A
1169,A10B,G04C
1170,M05B,C07A
1171,N06A,L01X
1172,C03C,C03D
1173,N05A,G04C
1174,D05A,A07E
1175,C07A,A01A
1176,N05B,C08C
1177,D07A,D01A
1178,M01A,L01X
1179,C09A,R01A
1180,A01A,C09C
1181,R06A,L02B
1182,R06A,R06A
1183,L02A,N05C
1184,J01D,V03A
1185,D08A,A10B
1186,N06B,H02A
1187,J01D,C07A
1188,H02A,J01D
1189,J01D,N01A
1190,N05B,C03B
1191,S01A,L01X
1192,S01E,S01F
1193,P01B,P01A
1194,L02B,C03D
1195,N06A,C09A
1196,N06A,A07D
1197,N06A,N05B
1198,L01C,A04A
1199,N02A,R03A
1200,A07E,N06A
1201,J05A,B05C
1202,B05X,L01X
1203,L01A,L01C
1204,C01E,M03B
1205,R03A,C10A
1206,C01B,B01A
1207,A10B,M01A
1208,A10B,N02C
1209,J02A,A03F
1210,B05X,A05A
1211,B05X,J05A
1212,N03A,N06A
1213,C03C,C02A
1214,N03A,N01A
1215,N05C,A10B
1216,S01E,A07D
1217,B01A,J01A
1218,C09A,L01X
1219,C07A,L01B
1220,A02B,C07A
1221,C07A,J02A
1222,A02B,C01B
1223,N06A,C01D
1224,N05A,L01X
1225,N06B,N06A
1226,C01B,J01X
1227,L02A,L01B
1228,R01A,J01F
1229,J01D,M02A
1230,N05B,N02A
1231,C09A,G04C
1232,C01B,N05C
1233,L01X,L01X
1234,N02B,R01A
1235,J05A,L01B
1236,C01E,J05A
1237,L02B,A10B
1238,N03A,G04C
1239,J05A,L02A
1240,L01A,A07E
1241,C07A,N05B
1242,J01C,N06A
1243,C09A,L01X
1244,M02A,C02A
1245,J01D,N03A
1246,S01E,R06A
1247,C10A,A10B
1248,L04A,C09A
1249,J01D,N05C
1250,C10A,C09C
1251,C01D,J01X
1252,N07B,J05A
1253,H03A,L02A
1254,B05C,C08C
1255,N03A,A06A
1256,M04A,C10A
1257,V03A,L01B
1258,H02A,D01A
1259,J01D,R03D
1260,A04A,N06A
1261,J05A,C09A
1262,S01A,C10A
1263,S01E,C07A
1264,N03A,L01D
1265,S01E,P01A
1266,M02A,M05B
1267,S01A,C08C
1268,C01D,C09A
1269,G04C,N02B
1270,G04C,C07A
1271,C03A,J05A
1272,D08A,N05A
1273,L04A,A07E
1274,R06A,J01A
1275,L01C,J05A
1276,A04A,G04B
1277,A04A,N02A
1278,P01B,R03A
1279,N02B,A10B
1280,A02B,C01D
1281,A01A,A10B
1282,S01E,M03B
1283,B03B,G04C
1284,J01A,C09C
1285,L01C,L01C
1286,M02A,C03D
1287,B01A,C09X
1288,L01C,N03A
1289,J01X,D01A
1290,A04A,L01X
1291,N05B,N05A
1292,C07A,C09C
1293,C09C,J01D
1294,N06A,N05C
1295,J02A,L01X
1296,V03A,G04B
1297,C03D,J01A
1298,J02A,N06A
1299,S01A,L01X
1300,D01A,M01A
1301,N01A,L01D
1302,J02A,L01X
1303,C08D,L02B
1304,G04C,N05C
1305,J01A,G04B
1306,G04C,N05C
1307,C07A,C07A
1308,N06A,A02B
1309,L04A,N04A
1310,D11A,J01E
1311,C09A,C09A
1312,D11A,N04A
1313,N05B,D10A
1314,A02B,J05A
1315,C09C,C09A
1316,M02A,L01X
1317,C08C,L02B
1318,M05B,C10A
1319,N02C,N03A
1320,M05B,C09C
1321,A06A,D06A
1322,A05A,A02B
1323,C08C,L02B
1324,B01A,H02A
1325,R03A,C09A
1326,G04C,M02A
1327,C08C,L02B
1328,B01A,P01A
1329,S01E,C09A
1330,J01F,J01D
1331,J01D,N05B
1332,J01D,A07E
1333,N04B,N06A
1334,J01D,P01B
1335,L02B,M05B
1336,J04A,N03A
1337,A02B,C09A
1338,J04A,N06B
1339,L01B,N05C
1340,N03A,N05A
1341,R01A,N05B
1342,H03A,H03B
1343,V03A,J02A
1344,V03A,L01B
1345,J02A,L01C
1346,B01A,M03A
1347,N06A,M04A
1348,L04A,N06A
1349,L01X,R03D
1350,R01A,S01E
1351,L02B,C10A
1352,L04A,M05B
1353,C07A,R06A
1354,C04A,C01E
1355,C01B,N02A
1356,J04A,R06A
1357,L01A,N05C
1358,J01F,D01A
1359,N03A,S01A
1360,J05A,R03A
